temperature,humidity,source_dataset
20.87974371,82.00274423,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.77046169,80.31964408,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.00445915,82.3207629,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.49109635,80.15836264,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.13017482,81.60487287,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.05804872,83.37011772,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.70883798,82.63941394,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.27774362,82.89408619,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.51588066,83.53521629999999,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.22397386,83.03322691,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.52723513,81.41753846,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.97898217,81.45061596,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.80079604,80.88684822,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.01497622,82.05687182,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.66585205,80.66385045,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.28209415,80.30025587,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.58711777,82.7883708,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.79391957,80.41817957,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.8652524,80.1923008,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.57943626,83.58760316,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.32504158,80.47476396,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.15745531,83.11713476,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.94766735,80.97384195,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.0525355,82.67839517,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.48381344,81.33265073,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.0756354,80.52389148,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.35927159,84.04403589,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.52922681,80.54498576,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.77576147,84.49774397,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.30157427,80.64416466,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.44653958,84.94375962,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.17931888,80.33127223,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.52783742,82.73685569,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.26707606,81.63895217,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.7354293,83.88266234,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.79533926,82.1480873,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.75754171,81.17734011,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.86330467,83.15250801,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.01944696,82.95221726,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.17298839,83.7287574,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.78133816,82.06719137,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.62980105,83.52842314,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.59704938,80.14509262,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.83067496,84.81360127,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.31355498,82.36698992,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.8972823,80.52586088,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.958779,84.47963372,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.24113501,84.59201843,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.66628296,80.70960551,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.63544858,80.41363018,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.43121862,83.06310136,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.0454142,80.3477562,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.85724032,82.22572988,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.97199397,81.89918197,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.22916897,83.83625819,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.44676801,84.79352417,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.65553461,83.47021081,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.44345477,82.45432595,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.2801937,82.1235421,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.7238313,80.2389895,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.41447029,82.20802629,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.75528612,83.51827127,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.61521424,83.77345559,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.84106875,80.72886384,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.08369642,83.29114712,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.45802087,82.74835604,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.14347496,80.33502926,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.78720567,82.11124033,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.64124821,80.28597873,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.43191632,80.56887849,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.97669518,83.891805,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.72791041,82.17068809999998,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.87300744,82.84022551,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.32376327,83.00320459,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.29465461,84.56919326,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.2286982,81.85872947,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.73072391,81.78596776,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.88921174,81.97927117,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.88444878,81.46033732,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.67846116,83.72874389,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.08867875,80.37979919,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.42977518,82.94682591,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.40323239,81.05635517,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.04371967,84.96907151,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.2827223,80.54372813,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.08576562,83.47038318,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.28617173,81.43321641,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.48591986,81.40633547,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.67575393,81.03569343,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.82477109,84.1341879,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.92995077,81.91411159,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.83509503,83.88387074,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.52872817,80.12267476,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.46428311,83.85642678,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.69657794,82.81088865,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.68319059,83.46358271,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.53346343,82.14004101,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.40865769,83.32931909999998,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.54348085,84.67353597,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.35905428,83.59512273,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.61359953,63.69070564,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
26.10018422,71.57476937,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.55882094,71.59351368,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
19.97215954,57.68272924,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
18.47891261,62.69503871,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.77689322,57.80840636,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.6217169,66.50415474,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.19192419,66.69029010000001,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.41683147,62.55424820000001,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.92162194,66.78627406,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.31689124,73.4541537,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.84016732,68.3584573,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.27526694,58.84015925,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
18.87751445,65.76816093,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.19008683,60.200168700000006,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
18.25405352,55.28220433,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.612911800000006,70.4162444,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.1420613,65.26185135,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.09348056,60.11593810000001,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
18.05033737,62.89366992,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.9321581,73.80435276,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
18.14710054,71.09445342,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
18.28362235,66.65952796,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
18.83344471,58.75082029,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.71895816,67.22190688,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.33797709,68.49835977,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.89114571,57.48775781,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.53574127,71.50905983,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.08974909,63.10459626,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.61707368,63.4711755,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.44526922,63.1621551,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
18.51816776,55.53128131,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.53510514,67.99257471,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.02038334,61.89472002,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.89364635,65.61418761,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.77175115,74.089114,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
19.39851734,62.35750641,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.54156232,59.64024162,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.79746068,74.82913698,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
18.9802729,74.52600826,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.10859207,73.13112261,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.7947077,70.04556743,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.63162756,60.27766379,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.37548751,57.21025565,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.21738222,72.85462807,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.58314011,69.00128641,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.87502824,68.74248334,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.03728219,56.35606753,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
25.95263264,61.89082199,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
19.28889933,65.47050802,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.57981887,65.34583901,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
24.71417533,56.73426469,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
20.27317074,63.91281869,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
18.41932981,64.23580251,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
23.39128187,61.74427165,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
19.84939404,61.24500053,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
21.869274,61.91044947,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.8056033,56.50768935,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
19.0781471,69.02298571,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
22.02720976,65.35549924,/home/marius/Documents/Marius/PLBD/data/real/Crop_recommendation.xls
